Time	u_1	var_u1	
2.6	0.93727	1	
2.61	-1.7332	1	
2.62	-0.66536	1	
2.63	-0.35965	1	
2.64	0.33486	1	
2.65	-1.7643	1	
2.66	0.37127	1	
2.67	-1.3195	1	
2.68	-0.046666	1	
2.69	0.53326	1	
2.7	0.20173	1	
2.71	0.95107	1	
2.72	0.86829	1	
2.73	-0.79492	1	
2.74	0.10683	1	
2.75	-1.1008	1	
2.76	-1.4844	1	
2.77	0.75599	1	
2.78	-0.17497	1	
2.79	-0.23612	1	
2.8	0.72375	1	
2.81	0.40103	1	
2.82	0.15049	1	
2.83	1.0444	1	
2.84	0.71778	1	
2.85	0.02162	1	
2.86	-0.91463	1	
2.87	-0.88194	1	
2.88	0.9556	1	
2.89	-1.8544	1	
2.9	-0.27315	1	
2.91	-2.2036	1	
2.92	0.75966	1	
2.93	0.59481	1	
2.94	-0.27179	1	
2.95	-0.34983	1	
2.96	-2.7713	1	
2.97	0.29014	1	
2.98	-2.4895	1	
2.99	-2.6223	1	
3	-0.22908	1	
3.01	-1.2635	1	
3.02	0.090547	1	
3.03	0.35009	1	
3.04	0.52491	1	
3.05	-1.0299	1	
3.06	0.10473	1	
3.07	-0.2499	1	
3.08	0.46966	1	
3.09	0.17388	1	
3.1	0.52976	1	
3.11	-0.5059	1	
3.12	-0.52698	1	
3.13	0.62219	1	
3.14	-2.515	1	
3.15	-0.90173	1	
3.16	-1.6735	1	
3.17	-0.79123	1	
3.18	0.2343	1	
3.19	0.40564	1	
3.2	-1.4407	1	
3.21	-0.90253	1	
3.22	-0.30009	1	
3.23	-0.73462	1	
3.24	-0.14656	1	
3.25	-0.05406	1	
3.26	-1.3895	1	
3.27	-0.64198	1	
3.28	-2.6028	1	
3.29	0.66912	1	
3.3	-1.1108	1	
3.31	-1.6911	1	
3.32	-0.74667	1	
3.33	-1.9268	1	
3.34	-0.52448	1	
3.35	-1.0697	1	
3.36	1.6633	1	
3.37	0.61865	1	
